cid,boro,x,y
4253533,manhattan,-8236511.87,4973136.33
4371288,bronx,-8224810.52,4990500.38
3650314,brooklyn,-8231293.77,4969056.38
3339178,queens,-8225751.92,4976549.99
3561447,,-8235689.77,4970350.62
95703,bronx,-8220211.52,4994508.95
3215507,brooklyn,-8228543.59,4956376.74
3583289,,-8228432.86,4978588.86
4050930,queens,-8215933.35,4970998.32
4327638,manhattan,-8235519.90,4970286.59
4601706,brooklyn,-8233989.93,4958461.71
4183862,brooklyn,-8230589.78,4956804.28
3645737,bronx,-8228072.18,4989100.90
4039327,,-8233254.10,4968575.76
3620582,,-8236136.17,4966885.20
81321,bronx,-8221666.87,4987038.02
4308280,brooklyn,-8229933.44,4962681.35
166,manhattan,-8238343.52,4971503.57
3759621,brooklyn,-8229751.44,4959355.52
3630706,manhattan,-8236278.65,4975986.46
3686112,manhattan,-8236110.56,4979566.39
4207163,brooklyn,-8237694.64,4966673.79
4310786,brooklyn,-8231151.28,4970995.38
3889272,brooklyn,-8228125.06,4964749.29
4357145,bronx,-8225383.82,4993303.33
3458761,queens,-8208127.07,4968106.33
4587935,brooklyn,-8234525.37,4966549.00
312355,queens,-8229313.98,4974642.75
3815441,,-8238192.68,4954263.24
4425046,brooklyn,-8226202.01,4964845.87
4408829,brooklyn,-8224196.04,4962832.51
4008538,queens,-8215037.34,4969228.63
3659383,manhattan,-8235744.99,4979822.18
1031208,queens,-8210628.27,4967759.28
3989811,queens,-8220411.17,4965374.60
4331387,bronx,-8227640.26,4988800.58
3498903,queens,-8215677.87,4969413.66
3919396,manhattan,-8236093.20,4972518.31
4169378,queens,-8218622.27,4976641.88
3714681,bronx,-8229200.29,4985495.12
3386366,queens,-8213203.48,4953018.18
4563401,queens,-8219035.27,4964668.56
3565037,queens,-8217174.00,4981161.52
3228444,brooklyn,-8232044.63,4965412.93
3196573,queens,-8217744.02,4968147.63
3736262,,-8235123.16,4974860.88
4378620,brooklyn,-8236269.75,4964507.10
3641570,queens,-8225137.80,4969991.39
319805,brooklyn,-8230651.00,4967274.45
2818977,brooklyn,-8231678.04,4957095.32
3264556,queens,-8215738.25,4966726.39
328621,manhattan,-8236164.16,4970534.73
3509488,,-8217171.78,4973932.16
4067208,queens,-8218817.52,4966178.02
3971023,,-8217798.51,4951109.56
3626372,brooklyn,-8237687.96,4964916.62
4451507,bronx,-8222005.83,4988311.78
268357,queens,-8211063.24,4967390.93
4468586,,-8216601.51,4966995.87
3852110,queens,-8212715.66,4964715.53
3873157,,-8262672.51,4943613.51
4411453,,-8213071.21,4976671.57
3231517,,-8221114.01,4987855.62
2968480,,-8222659.71,4961142.84
69134,manhattan,-8231252.25,4988355.01
3310388,manhattan,-8235874.40,4976247.73
3921458,queens,-8211552.37,4953260.38
3494472,,-8236641.56,4974381.16
3641064,bronx,-8229641.79,4984609.95
4047884,manhattan,-8236752.88,4975404.11
4563442,,-8222797.42,4972863.82
3514718,bronx,-8220324.35,4993626.17
3653336,brooklyn,-8237021.16,4962741.52
3474943,brooklyn,-8236432.94,4954466.32
4117953,,-8221128.07,4964071.48
4204599,,-8238359.22,4969595.32
3978746,brooklyn,-8230192.82,4964906.94
3694136,manhattan,-8232549.90,4977912.29
4018213,,-8208191.63,4964182.44
3586361,,-8224749.30,4988666.39
4204314,bronx,-8226351.18,4995384.09
108432,bronx,-8227258.70,4998545.52
4005975,manhattan,-8228666.63,4992421.13
4569945,bronx,-8226739.69,4987033.69
4005884,,-8225266.93,4968119.25
3543462,queens,-8227454.92,4971592.60
3358666,bronx,-8219438.02,4985968.55
3853748,,-8228086.65,4993365.16
23361,manhattan,-8237290.44,4973679.27
4536892,,-8212458.07,4978324.87
4211980,,-8229916.75,4970313.90
126710,brooklyn,-8229584.18,4957306.37
2812985,manhattan,-8233002.49,4980170.98
4211444,queens,-8221543.85,4967579.21
4523963,,-8222654.26,4961126.36
3565719,,-8210251.49,4973260.76
4616564,,-8238755.51,4959169.21
3886198,manhattan,-8238400.40,4971096.14
3263289,queens,-8226211.23,4968594.95
3618736,,-8219139.91,4993252.25
3174101,bronx,-8226110.90,4998266.10
1014393,manhattan,-8228619.14,4992370.42
2968323,,-8223905.33,4959782.31
179939,brooklyn,-8232037.22,4967837.13
4036875,,-8231170.65,4971364.05
164668,brooklyn,-8225999.22,4963223.23
116247,brooklyn,-8234548.27,4951467.52
3565414,bronx,-8227215.02,4989885.09
4537675,brooklyn,-8229561.64,4955633.69
232300,queens,-8219235.63,4963364.64
4394296,queens,-8225201.25,4972824.74
3606302,brooklyn,-8228706.70,4965478.82
35480,manhattan,-8235055.18,4974577.41
3236515,,-8230491.49,4981635.27
3618626,queens,-8212182.44,4977617.31
4455183,brooklyn,-8227412.06,4964696.45
4372713,,-8220905.43,4986889.96
4330773,bronx,-8227169.38,4987748.27
4605288,manhattan,-8232343.51,4979505.24
3993548,queens,-8230069.25,4975826.73
314681,brooklyn,-8226229.50,4964986.01
3908135,queens,-8226049.51,4974107.14
169794,brooklyn,-8226045.69,4964641.32
3695292,,-8212960.00,4976709.04
3486773,bronx,-8226491.00,4991660.88
3423581,queens,-8226283.28,4970041.77
3147549,bronx,-8221823.22,4989853.93
4352573,queens,-8216914.63,4974735.99
4102272,,-8232015.68,4958579.94
364096,brooklyn,-8232104.02,4961894.17
228873,queens,-8218315.44,4964013.03
139123,brooklyn,-8229411.78,4959169.53
4623555,manhattan,-8238585.19,4974657.97
3481566,queens,-8205987.51,4974638.58
4442016,bronx,-8226785.33,4989501.60
3339600,queens,-8206090.82,4974309.55
4120204,brooklyn,-8229242.71,4969649.65
4604771,brooklyn,-8234537.62,4964485.82
3836277,manhattan,-8233470.51,4977462.98
359732,brooklyn,-8233281.24,4954510.41
3731433,brooklyn,-8237682.39,4956147.84
88173,bronx,-8228275.72,4987863.56
3744364,,-8231962.80,4978310.32
36814,manhattan,-8233724.07,4977003.43
4321461,staten island,-8260498.44,4944312.18
189344,brooklyn,-8237222.84,4966834.90
277385,queens,-8225718.75,4979035.40
4285565,,-8238613.02,4974283.60
3842668,queens,-8221859.44,4969014.23
3767,manhattan,-8237827.82,4969590.38
4301204,queens,-8228823.59,4978129.82
206477,queens,-8220601.16,4966125.26
264949,queens,-8221569.73,4971734.21
3129903,bronx,-8224781.21,4989651.11
4608043,manhattan,-8236420.03,4970951.61
3983585,queens,-8228063.28,4977769.87
