cid,boro,zipcode,x,y
4423591,bronx,10453,-8227565.68,4991578.90
4612948,brooklyn,11212,-8227459.92,4962469.30
3337370,bronx,10474,-8226105.16,4984696.52
3454555,brooklyn,11212,-8227487.75,4961506.98
4133395,staten island,10310,-8250199.16,4959023.10
3941080,queens,11385,-8224483.24,4967067.98
295759,staten island,10314,-8256557.49,4949704.39
3387724,manhattan,10011,-8237815.45,4974225.70
3686952,manhattan,10013,-8237443.06,4971284.73
3596498,staten island,10306,-8248696.79,4949767.00
3350400,brooklyn,11210,-8232300.09,4958436.74
3824698,brooklyn,11234,-8228325.99,4956396.13
3907160,bronx,10469,-8221587.15,4992624.41
3596366,bronx,10451,-8228021.42,4986433.33
3687136,manhattan,10016,-8234902.75,4975460.69
184986,brooklyn,11221,-8229145.38,4967109.24
4596531,queens,11429,-8209127.83,4969644.51
204116,queens,11421,-8222746.06,4966724.76
3763184,manhattan,10011,-8236777.37,4973760.71
3161685,queens,11358,-8215544.59,4978731.13
4511204,bronx,10468,-8226716.87,4991972.63
154052,brooklyn,11225,-8232453.31,4962206.92
3544393,bronx,10456,-8228034.33,4987631.45
3515850,manhattan,10128,-8231750.73,4980568.57
4161947,manhattan,10023,-8235661.94,4979163.17
3876012,queens,11414,-8221021.21,4962581.12
3553067,brooklyn,11204,-8236472.80,4956946.11
4324408,brooklyn,11235,-8232119.31,4951093.43
3946395,brooklyn,11226,-8231989.51,4961467.21
4009240,queens,11358,-8215779.62,4976465.82
3307077,queens,11372,-8224928.40,4975160.27
4408969,brooklyn,11208,-8222495.08,4964366.64
5434,manhattan,10003,-8236377.66,4971559.94
64061,manhattan,10027,-8232206.29,4984382.53
4551017,queens,11385,-8223751.87,4968544.34
3270580,queens,11375,-8218966.58,4970412.08
3634001,manhattan,10004,-8238934.07,4968697.78
3622969,staten island,10306,-8250504.17,4949641.98
4570973,brooklyn,11221,-8228823.59,4967543.39
3191024,queens,11354,-8218336.62,4978715.29
4376469,bronx,10459,-8226272.15,4986491.29
4187857,brooklyn,11229,-8233163.94,4954711.63
3291617,bronx,10454,-8227590.71,4983735.77
4283025,brooklyn,11237,-8228360.50,4968860.05
3534874,staten island,10314,-8255174.03,4952099.00
4371312,brooklyn,11210,-8231742.39,4956012.33
13319,manhattan,10009,-8235010.34,4971001.71
3453374,brooklyn,11214,-8236080.51,4951873.25
3217027,queens,11374,-8222038.22,4973374.54
4154149,bronx,10462,-8221611.76,4989090.31
3602339,brooklyn,11205,-8233838.53,4966460.92
3681426,bronx,10468,-8227824.38,4991970.27
1008522,brooklyn,11206,-8231444.90,4967485.76
4531122,brooklyn,11210,-8231568.17,4957111.69
3424906,queens,11368,-8219696.50,4977096.44
3752343,queens,11379,-8224194.92,4971864.34
3849277,queens,11428,-8208177.16,4970908.73
3715034,queens,11365,-8216087.08,4974368.23
3712801,brooklyn,11221,-8229242.15,4967858.18
3742657,queens,11694,-8219576.28,4950688.89
19907,manhattan,10036,-8237454.66,4977126.83
4424125,queens,11355,-8219139.91,4974555.41
4433788,manhattan,10028,-8232425.89,4979720.75
4481343,brooklyn,11212,-8227372.54,4962018.06
3260501,brooklyn,11235,-8231471.98,4951913.05
3425852,queens,11378,-8226591.63,4972000.50
4565817,brooklyn,11201,-8235192.18,4967348.56
4504750,queens,11413,-8210009.48,4963258.54
4517320,brooklyn,11207,-8226160.83,4964629.66
3817283,staten island,10306,-8251789.91,4950055.72
3198706,manhattan,10002,-8235372.70,4969803.85
3393074,queens,11377,-8228512.24,4973663.29
1036991,manhattan,10014,-8238799.11,4972894.92
3310889,queens,11103,-8228173.82,4977188.38
4319316,manhattan,10029,-8231235.21,4981507.48
4495774,manhattan,10017,-8234532.05,4976128.86
1009218,staten island,10312,-8255838.40,4945280.18
