cid,zipcode,x,y
3746019,11209,-8240431.43,4956978.81
3229064,11210,-8231820.06,4958342.25
3191866,10030,-8231066.57,4985694.70
106252,10461,-8220345.61,4989706.01
3354222,11207,-8226124.67,4965049.13
3664287,11354,-8218107.97,4979281.21
3376181,10467,-8224361.02,4993611.18
4353337,,-8235576.79,4955548.93
4426678,11213,-8230500.51,4963504.37
4407749,11208,-8223161.88,4966153.36
3469324,11106,-8229205.41,4977511.49
3730177,,-8230874.09,4986047.76
3759000,10036,-8237191.47,4976856.01
3643474,,-8230536.80,4975494.34
4014484,,-8210305.03,4954249.31
3961046,10011,-8237790.93,4975020.60
4035935,11221,-8228141.20,4966357.27
1005356,10001,-8236332.97,4975408.46
3746756,,-8218859.38,4970312.44
3623038,,-8230591.34,4963655.53
3450699,11238,-8233000.30,4965230.75
3169367,11207,-8225164.67,4961581.64
9348,10012,-8236978.89,4971176.20
4600150,11691,-8210226.55,4954917.65
3018919,,-8205909.13,4976959.72
4069072,10462,-8222156.66,4989742.49
3699484,10307,-8265090.81,4940943.52
3128160,10029,-8230812.79,4981645.04
3552909,,-8225126.67,4959098.36
3329674,11414,-8220535.93,4963722.71
3321659,11236,-8226767.86,4960138.99
4386624,10027,-8232395.83,4983929.72
4124970,10003,-8236634.88,4974019.14
176860,11215,-8236050.32,4964371.34
4459042,11373,-8223730.72,4974286.39
3961735,,-8225187.34,4998054.27
4409549,11208,-8222894.71,4963123.67
206176,11416,-8220509.68,4965878.11
3659035,,-8217315.38,4977971.52
277100,11106,-8230000.21,4976613.96
3725870,,-8218433.03,4991738.60
3984861,,-8234487.52,4977908.32
4218129,10012,-8238076.46,4971808.37
4457657,11433,-8212480.11,4968162.86
4103575,11226,-8232029.59,4960971.27
4556303,10128,-8231646.65,4980138.99
4517292,10309,-8263854.72,4942969.09
225146,11040,-8204947.43,4975539.86
4613494,,-8230393.19,4985317.43
231112,11417,-8220348.05,4965358.45
3993738,,-8207473.62,4970060.86
4475383,11435,-8217059.34,4968982.95
3594367,10471,-8226331.15,4996040.38
4256184,,-8211432.14,4964009.54
3514464,10306,-8249180.03,4951660.70
4223356,10451,-8229296.25,4984683.49
2816880,11416,-8220601.16,4966125.26
3282035,10309,-8263987.72,4943838.19
266562,11374,-8222420.51,4972400.83
4501662,,-8234450.79,4974683.24
3388374,10469,-8221253.76,4993767.66
3146508,11373,-8223211.91,4973111.69
55242,10023,-8235335.63,4979464.89
3729475,10458,-8225151.16,4992898.51
4447037,,-8230898.03,4958916.89
3616863,10459,-8225647.64,4985855.80
3786279,10026,-8232138.68,4983236.75
275709,11101,-8230074.95,4976092.88
58895,10025,-8234446.08,4982199.02
4489558,11226,-8233228.50,4960362.38
113012,10468,-8226880.36,4992495.51
4060132,10301,-8249244.04,4955544.53
179095,11217,-8235514.76,4965343.00
4229116,10016,-8236218.10,4974631.67
3888911,10014,-8237917.28,4972645.52
3818703,,-8237172.55,4963200.87
4036715,10003,-8236932.10,4973479.95
3537817,10466,-8221600.73,4995225.81
4136220,11354,-8217315.38,4977971.52
3367232,11238,-8233376.41,4965212.15
4253790,10460,-8224979.73,4988644.61
1018842,10013,-8238090.47,4970669.49
3288926,11213,-8231487.56,4964114.91
61585,10035,-8230338.87,4983715.65
32865,10016,-8235102.84,4975096.86
3240311,11433,-8212958.78,4967885.17
3789437,,-8227055.84,4970079.80
4136172,11234,-8229447.42,4955614.19
4474939,11693,-8217000.90,4951767.27
3319280,10036,-8237770.50,4977303.52
321189,11203,-8229335.89,4959735.63
4499618,10037,-8231214.73,4984680.55
232123,11417,-8220190.93,4964338.06
137819,11203,-8230004.70,4961100.95
3838867,10022,-8233724.54,4977003.41
4251952,,-8222992.67,4973012.49
3419322,,-8231377.93,4971202.48
4165011,,-8212630.39,4963782.63
3607450,11432,-8215664.51,4968664.30
215536,11385,-8226018.70,4967770.13
4283781,,-8237129.14,4949920.88
3740958,10018,-8236604.82,4976170.30
4345147,10466,-8222163.79,4995998.71
3944258,,-8227086.34,4993939.60
3946245,10460,-8224654.67,4988647.40
3199591,11385,-8227366.31,4968604.70
3531290,,-8228481.84,4978533.01
